[INFO | app | line 124] 2025-04-11T19:36:23+0800: Recieved dfa input type stars_dfa
[INFO | app | line 125] 2025-04-11T19:36:23+0800: Recieved dfa input type 111111111111111
[INFO | app | line 136] 2025-04-11T19:36:23+0800: Response data for stars_dfa: {'input': '111111111111111', 'final_state': 19, 'accepted': False, 'state_sequence': [0, 2, 5, 6, 7, 8, 12, 17, 19, 19, 19, 19, 19, 19, 19, 19], 'error': None}
[INFO | _internal | line 97] 2025-04-11T19:36:23+0800: 127.0.0.1 - - [11/Apr/2025 19:36:23] "POST /simulate-dfa HTTP/1.1" 200 -
[INFO | _internal | line 97] 2025-04-11T19:36:45+0800: 127.0.0.1 - - [11/Apr/2025 19:36:45] "[36mGET /style.css HTTP/1.1[0m" 304 -
[INFO | _internal | line 97] 2025-04-11T19:37:13+0800: 127.0.0.1 - - [11/Apr/2025 19:37:13] "[36mGET / HTTP/1.1[0m" 304 -
[INFO | _internal | line 97] 2025-04-11T19:37:13+0800: 127.0.0.1 - - [11/Apr/2025 19:37:13] "[36mGET /style.css HTTP/1.1[0m" 304 -
[INFO | _internal | line 97] 2025-04-11T19:37:13+0800: 127.0.0.1 - - [11/Apr/2025 19:37:13] "[36mGET /script.js HTTP/1.1[0m" 304 -
[INFO | _internal | line 97] 2025-04-11T19:38:38+0800: 127.0.0.1 - - [11/Apr/2025 19:38:38] "[36mGET / HTTP/1.1[0m" 304 -
[INFO | _internal | line 97] 2025-04-11T19:38:38+0800: 127.0.0.1 - - [11/Apr/2025 19:38:38] "GET /style.css HTTP/1.1" 200 -
[INFO | _internal | line 97] 2025-04-11T19:38:38+0800: 127.0.0.1 - - [11/Apr/2025 19:38:38] "[36mGET /script.js HTTP/1.1[0m" 304 -
[INFO | app | line 124] 2025-04-11T19:38:40+0800: Recieved dfa input type bets_dfa
[INFO | app | line 125] 2025-04-11T19:38:40+0800: Recieved dfa input type 111111111111111
[INFO | app | line 136] 2025-04-11T19:38:40+0800: Response data for bets_dfa: {'input': '111111111111111', 'final_state': 0, 'accepted': False, 'state_sequence': [0, 'REJECT_STATE_INVALID_SYMBOL'], 'error': 'Simulation Error: Symbol "1" not in alphabet {\'b\', \'a\'}.'}
[INFO | _internal | line 97] 2025-04-11T19:38:40+0800: 127.0.0.1 - - [11/Apr/2025 19:38:40] "POST /simulate-dfa HTTP/1.1" 200 -
[INFO | app | line 124] 2025-04-11T19:38:42+0800: Recieved dfa input type bets_dfa
[INFO | app | line 125] 2025-04-11T19:38:42+0800: Recieved dfa input type 111111111111111
[INFO | app | line 136] 2025-04-11T19:38:42+0800: Response data for bets_dfa: {'input': '111111111111111', 'final_state': 0, 'accepted': False, 'state_sequence': [0, 'REJECT_STATE_INVALID_SYMBOL'], 'error': 'Simulation Error: Symbol "1" not in alphabet {\'b\', \'a\'}.'}
[INFO | _internal | line 97] 2025-04-11T19:38:42+0800: 127.0.0.1 - - [11/Apr/2025 19:38:42] "POST /simulate-dfa HTTP/1.1" 200 -
[INFO | app | line 124] 2025-04-11T19:38:44+0800: Recieved dfa input type bets_dfa
[INFO | app | line 125] 2025-04-11T19:38:44+0800: Recieved dfa input type 111111111111111
[INFO | app | line 136] 2025-04-11T19:38:44+0800: Response data for bets_dfa: {'input': '111111111111111', 'final_state': 0, 'accepted': False, 'state_sequence': [0, 'REJECT_STATE_INVALID_SYMBOL'], 'error': 'Simulation Error: Symbol "1" not in alphabet {\'b\', \'a\'}.'}
[INFO | _internal | line 97] 2025-04-11T19:38:44+0800: 127.0.0.1 - - [11/Apr/2025 19:38:44] "POST /simulate-dfa HTTP/1.1" 200 -
[INFO | _internal | line 97] 2025-04-11T19:41:08+0800: 127.0.0.1 - - [11/Apr/2025 19:41:08] "[36mGET / HTTP/1.1[0m" 304 -
[INFO | _internal | line 97] 2025-04-11T19:41:08+0800: 127.0.0.1 - - [11/Apr/2025 19:41:08] "GET /style.css HTTP/1.1" 200 -
[INFO | _internal | line 97] 2025-04-11T19:41:08+0800: 127.0.0.1 - - [11/Apr/2025 19:41:08] "[36mGET /script.js HTTP/1.1[0m" 304 -
